"Ticks","placeholder","Changers","Stayers"
201,,950631.724137931,417229.0245677178
202,,940000,420079.2250175642
203,,940000,421027.36741507275
204,,952916.8965517242,425897.6941753618
205,,940000,432201.31009053637
206,,946061.3793103448,436270.8391511049
207,,945641.0048275867,441617.69645627605
208,,940000,446367.29369747604
209,,940000,445709.2126519829
210,,940000,451399.91486778925
211,,940000,458068.1877950189
212,,945299.6551724138,463771.1467147671
213,,947463.972758621,465895.43368401175
214,,940000,470260.4682995576
215,,940000,476593.827283899
216,,940000,481474.26613013085
217,,940000,491381.0985377487
218,,940000,494863.22545315896
219,,949870,500546.1185949045
220,,940000,504658.3889234232
221,,948346.551724138,511277.00664198434
222,,962233.0582758624,516289.24441535125
223,,940000,521711.83606621553
224,,940000,526725.6622281617
225,,950631.724137931,532960.3693756554
226,,940000,540391.7232285416
227,,953678.6206896552,548007.1386295384
228,,960638.7534482762,553115.2542162883
229,,959476.0521975864,559304.7899932523
230,,960653.6790203578,564470.4701118132
231,,961178.6665086038,570319.3395040537
232,,963483.4387181964,577117.3216996465
233,,958931.4350438872,582113.3747359171
234,,970560.0082829559,586764.4230493808
235,,952641.1069621174,592273.8975571537
236,,962737.2598866937,603392.0192930733
237,,950507.0098033611,608419.3592854519
238,,940000,615412.2876521554
239,,940000,620906.2395041413
240,,946061.3793103448,628664.281622077
241,,940000,632979.6645046154
242,,940000,642307.3347009262
243,,951393.448275862,650430.2501877263
244,,940000,656120.550048685
245,,940000,661706.9319307465
246,,940000,666051.7674255625
247,,947584.8275862068,673460.4860418463
248,,952082.306206897,681749.4896031221
249,,940000,686845.1573569474
250,,940000,691127.343196043
251,,949108.275862069,699665.4517126131
252,,940000,708708.49813897
253,,947584.8275862068,712342.2754609679
254,,955430.861724138,717406.4154481491
255,,940000,724592.7715215321
256,,949870,730994.0126143346
257,,961566.6955172418,732216.0580726976
258,,940000,742822.3753034981
259,,940000,745845.3126736258
260,,940000,748531.6635538525
261,,949870,760892.9604428308
262,,940000,761768.7693902209
263,,940000,769231.000375118
264,,943776.2068965518,778035.8643200143
265,,950754.7831034487,784474.389354822
266,,961528.9844513792,780434.5201378716
267,,940000,773814.6454179079
268,,940000,781599.0519673871
269,,954440.3448275862,787765.882888523
270,,940000,793596.9156212782
271,,940000,800471.8736076646
272,,946061.3793103448,811145.327132581
273,,955004.1341379314,806846.9642200948
274,,963356.6756231035,809695.6183334708
275,,961027.0394880892,816760.1605432559
276,,940000,824187.6964881379
277,,940000,835160.5385830955
278,,945299.6551724138,836540.366456005
279,,940000,843353.9786648231
280,,948346.551724138,850505.7601848983
281,,954756.4117241383,843227.9910893203
282,,957437.2562148276,846986.54076055
283,,940000,856368.7043162951
284,,940000,865108.0704102665
285,,945299.6551724138,857115.0207619922
286,,940000,862596.8484836926
287,,947584.8275862068,872840.9068498512
288,,940000,872012.7449429153
289,,940000,883597.7026242445
290,,947584.8275862068,886831.5655327206
291,,940000,899477.6712401174
292,,947584.8275862068,890596.3918309269
293,,940000,900879.319674824
294,,946061.3793103448,906658.6152943488
295,,940000,912552.3948846493
296,,949108.275862069,918444.5834100179
297,,961503.1806896555,911018.740254176
298,,940000,914399.1421009694
299,,940000,921471.4045328908
300,,940000,920969.6481246045
301,,946823.1034482758,913799.2298067175
302,,955408.9175862072,909920.2194770053
303,,956996.9038634483,913170.1598635747
304,,961140.6959810825,920823.100245401
305,,940000,922170.4557316831
306,,951393.448275862,921572.870288116
307,,940000,926436.6537148353
308,,940000,930144.6683592265
309,,940000,934248.3204437258
310,,948346.551724138,929012.9174421115
311,,955494.3765517246,939414.3152080843
312,,940000,936145.246867842
313,,949870,936927.6840045532
314,,956345.5141379313,942333.2178032848
315,,940000,949077.4073631068
316,,940000,948033.2239991914
317,,951393.448275862,945318.8496262195
318,,940000,949234.2623419402
319,,946061.3793103448,951410.8278691492
320,,940000,944545.1395559078
321,,944537.9310344828,951831.1458722574
322,,950038.7624137934,952332.7109541157
323,,940000,952012.1142210064
324,,954440.3448275862,939708.6996812051
325,,960319.4289655174,932975.495840702
326,,940000,939866.2528973225
327,,940000,946787.86510614
328,,940000,951166.0354229948
329,,940000,953206.939954116
330,,940000,943863.3817204562
331,,946823.1034482758,938057.5332167239
332,,948287.3965517243,941469.5057608794
333,,940000,950817.1124062673
334,,947584.8275862068,954776.8855408264
335,,944960.7851724139,950327.4094277275
336,,940000,956674.6694793955
337,,940000,955181.9710561864
338,,940000,948098.4613777327
339,,940000,958277.9452453429
340,,946061.3793103448,953820.0033084493
341,,951982.9903448276,966920.7081625235
342,,958230.4190093101,955220.1406616832
343,,940000,952921.026883324
344,,940000,952296.6036244401
345,,945299.6551724138,949911.5047408678
346,,940000,951489.3475915582
347,,940000,952807.562608115
348,,952155.1724137932,944445.4227995543
349,,940000,952529.106468497
350,,959772.4137931034,944949.9503672628
351,,940000,945365.6430685481
352,,940000,939877.8010463956
353,,952155.1724137932,945375.1458183011
354,,956452.9172413795,951984.7271914154
355,,956418.5366441376,952837.890379004
356,,940000,954864.3846014165
357,,940000,935480.6945266591
358,,940000,940935.7063488093
359,,940000,942284.9901150194
360,,940000,947732.4057063004
361,,940000,957012.8410513676
362,,952916.8965517242,953980.7590098957
363,,960602.9524137933,942988.907996905
364,,940000,937603.5625878396
365,,940000,940416.146092497
366,,940000,950567.7314537049
367,,954440.3448275862,952260.5883878713
368,,940000,951400.84504098
369,,940000,951030.994567373
370,,952916.8965517242,939946.2052548202
371,,954602.2355172415,947835.8767601012
372,,940000,946239.1749185761
373,,951393.448275862,948406.5003479874
374,,940000,960844.3623926088
375,,940000,957321.983678058
376,,940000,952897.1242295083
377,,940000,957123.7136985622
378,,940000,964168.88843091
379,,952155.1724137932,962955.9557326525
380,,940000,951841.2306228124
381,,948346.551724138,952529.8428773845
382,,952131.9641379314,958269.7381788442
383,,940000,949694.445269459
384,,952155.1724137932,953840.1322251258
385,,940000,958724.937632438
386,,940000,958178.4891207286
387,,940000,964024.6820365611
388,,940000,965764.3491553391
389,,940000,950397.8938885581
390,,940000,942024.8283116954
391,,952916.8965517242,947717.0631400726
392,,940000,951299.2935090498
393,,940000,957260.1539217497
394,,954440.3448275862,950954.0116885817
395,,940000,951463.6181327034
396,,947584.8275862068,953905.4994704645
397,,947954.2151724139,952745.6746846787
398,,952973.2408648273,951707.9711909206
399,,957787.4202885401,951822.4164583537
400,,956881.9540094374,950504.1426350295
401,,961768.479952813,951258.5922357612
402,,939979.7509923865,951269.6640378941
403,,946040.9176881514,952476.3012827827
404,,940000,954670.6776622727
405,,940000,952604.0642230121
406,,949108.275862069,960866.5595255932
407,,940000,968952.3891208364
408,,949870,968615.2316763038
409,,940000,968613.0464117646
410,,948346.551724138,962647.3939091204
411,,940000,974304.2323234254
412,,940000,966482.5798671913
413,,940000,961015.8610197052
414,,943776.2068965518,961921.2448900944
415,,940000,949035.2410180917
416,,940000,942340.0618929998
417,,948346.551724138,945545.4420811392
418,,940000,953963.7526393075
419,,949108.275862069,942245.8939532583
420,,940000,951412.807871909
421,,940000,952994.1706876637
422,,944537.9310344828,961453.8032661406
423,,946307.367586207,960922.9802376034
424,,960872.2026913791,962181.9154722809
425,,967341.6398833408,960757.3286338752
426,,972077.7945408208,954639.2716254483
427,,966916.3018224592,963870.2548303234
428,,964059.3204254963,961021.2525774536
429,,939779.3174595704,956523.0485680706
430,,940000,964450.6568810364
431,,940000,961473.5655325543
432,,947584.8275862068,966525.5072153021
433,,952834.1279310347,957790.7687886388
434,,940000,955302.355475424
435,,940000,958658.9348804826
436,,940000,953866.9779705325
437,,940000,957121.2268532307
438,,940000,962561.1101206312
439,,946823.1034482758,957263.269333184
440,,940000,946485.4349041862
441,,940000,956142.6998912388
442,,940000,958221.4637947672
443,,940000,953821.7134670736
444,,940000,953772.5299959979
445,,951393.448275862,955846.1506769964
446,,940000,947499.6378748139
447,,951393.448275862,945640.6065466475
448,,956417.1162068968,949810.6085740358
449,,964848.6010962067,958545.1584379531
450,,954539.2627133302,952147.7044523307
451,,940000,944017.0417037985
452,,946061.3793103448,940534.653585418
453,,940000,949776.1605937945
454,,940000,951086.5220978054
455,,955202.0689655172,949050.8516388582
456,,965959.2506896555,954036.1099427318
457,,960240.8746241378,959518.2859970358
458,,940000,956907.8501960455
459,,949870,957544.1852594824
460,,940000,969264.550113832
461,,940000,967385.2640832106
462,,952155.1724137932,957388.3549176978
463,,940000,947903.8679244434
464,,951393.448275862,941029.5242414579
465,,940000,943350.4802768382
466,,940000,946040.4989636987
467,,940000,947638.7557520168
468,,940000,948027.7613303099
469,,940000,943345.9234972119
470,,940000,950989.5875860439
471,,951393.448275862,947935.6051474194
472,,940000,944743.626074739
473,,940000,951302.8746681912
474,,951393.448275862,958116.8158807153
475,,940000,956261.9000571627
476,,946823.1034482758,948266.6616335694
477,,957295.4003448279,951381.2956272302
478,,970485.125105862,954280.4416439233
479,,940000,948273.1805277226
480,,950631.724137931,949237.2310848525
481,,953756.8675862073,958518.8888642748
482,,970274.0437624139,964362.5742155677
483,,940000,954163.9417687884
484,,946061.3793103448,962588.8485853976
485,,940000,953639.0698964762
486,,940000,961460.8891793042
487,,940000,965017.3237058392
488,,940000,962584.1703582599
489,,940000,960610.3924692271
490,,940000,962644.1433484693
491,,940000,962116.6154511077
492,,940000,952082.9083499525
493,,940000,946980.403340133
494,,949870,936823.4585484914
495,,960076.9089655178,942127.918205714
496,,940000,950561.4219773206
497,,940000,948660.8159986933
498,,940000,954214.2083150321
499,,940000,955995.242775123
500,,940000,953764.4921901572
501,,949870,956753.5226817938
502,,960432.034482759,955759.3249836462
503,,958057.3310720689,960285.7159342079
504,,963858.3431008239,974519.5889488676
505,,940000,974416.2475396489
506,,946823.1034482758,970568.2520841963
507,,954670.9527586213,976356.7887479673
508,,966820.1920706898,969132.7176065668
509,,940000,956433.8420948541
510,,952916.8965517242,948959.3301338936
511,,940000,945674.4076200977
512,,940000,949703.6644549508
513,,947584.8275862068,945937.5144158737
514,,940000,948779.6076810682
515,,940000,949416.2369818098
516,,952916.8965517242,954630.1861935494
517,,940000,951138.6803575078
518,,940000,958196.8516409782
519,,949108.275862069,960987.2140100148
520,,940000,968555.3959753771
521,,949108.275862069,972999.6739782586
522,,940000,962987.4441307494
523,,940000,963280.1724749289
524,,940000,958632.2460687774
525,,950631.724137931,958705.0251873203
526,,940000,948201.1044104493
527,,946823.1034482758,958013.3291952492
528,,950542.8617241383,950773.4572762765
529,,953312.6458868964,958456.2058642277
530,,940000,950622.9666429898
531,,940000,940449.8912523612
532,,940000,944895.4019162559
533,,952916.8965517242,952577.3773270631
534,,957978.5048275864,951104.302027643
535,,959475.5528955172,954892.8161823225
536,,956185.2783936379,960122.1084743328
537,,940000,968801.2627122294
538,,940000,956972.3014998195
539,,940000,952686.073787286
540,,940000,951407.0728806796
541,,940000,958451.9486601546
542,,949870,954217.953087279
543,,957083.4789655176,951154.8966027782
544,,962549.7519255172,948210.1407317475
545,,963317.6226361417,946774.7154459787
546,,955653.0600316267,936378.2121874486
547,,955142.7289496283,945916.1916252442
548,,939979.7509923865,948503.995737504
549,,940000,950611.686289771
550,,953678.6206896552,958886.7162049355
551,,940000,946051.6051841707
552,,946061.3793103448,946693.1108239195
553,,940000,949668.2762485286
554,,940000,943937.448394539
555,,940000,948243.5018812668
556,,940000,945380.201594332
557,,949108.275862069,951869.9962941778
558,,940000,953306.2016854036
559,,946823.1034482758,949654.7206341142
560,,952415.4875862073,947286.2400594319
561,,940000,952948.6527236172
562,,940000,957738.6212203834
563,,949108.275862069,950109.9181496497
564,,949543.3175862071,952575.6962419982
565,,948914.340831724,941993.5454523383
566,,953287.3929527578,948076.8985820009
567,,954369.8759420548,947433.9517870356
568,,952577.7606126426,945876.7778981718
569,,939979.7509923865,955274.4389364831
570,,949088.2900915544,959676.1795588519
571,,940000,966014.5486564139
572,,946823.1034482758,959386.1449104988
573,,950160.0224137933,951877.9562275289
574,,955750.5676199996,962066.7109841254
575,,940000,965019.0685655173
576,,948346.551724138,958480.4554814314
577,,940000,959766.252383746
578,,940000,949532.4841505445
579,,951393.448275862,948193.1321781491
580,,940000,947286.0347292013
581,,950631.724137931,945855.5827630667
582,,940000,940337.1448392262
583,,940000,948193.6779075105
584,,950631.724137931,948081.0407834426
585,,940000,949952.2227612557
586,,940000,949349.5438958607
587,,940000,949541.2414545892
588,,940000,939323.3067260432
589,,940000,940900.487411171
590,,949870,949554.1233286979
591,,940000,949648.5600879616
592,,940000,956388.9764235055
593,,940000,947607.4307439198
594,,940000,951154.4364925826
595,,946823.1034482758,948152.198728078
596,,958019.5082758624,959008.9606212537
597,,958106.8029641376,957001.802195569
598,,940000,957670.0099614324
599,,951393.448275862,960453.9082799834
600,,940000,965733.6578734212
601,,952155.1724137932,962205.5546969395
602,,940000,958811.4865628121
603,,940000,961304.406316408
604,,940000,956285.6120490616
605,,956725.5172413794,962955.3661715859
606,,956326.4548275864,959929.5645635249
607,,940000,953624.5194805802
608,,940000,951192.9384320967
609,,940000,955302.1710625616
610,,940000,957295.9818664624
611,,940000,966742.018350041
612,,949108.275862069,972702.8378411406
613,,940000,979706.2008716157
614,,940000,966567.3081273291
615,,940000,966392.6366107104
616,,946823.1034482758,970681.5832657377
617,,955395.0606896555,972957.8656266736
618,,940000,955581.7195800391
619,,952155.1724137932,952767.5089160783
620,,940000,955962.9098806101
621,,940000,961132.3451486297
622,,940000,969640.8714394096
623,,950631.724137931,958688.5457971222
624,,947018.1858620691,953380.3351056586
625,,940000,953474.2730354402
626,,950631.724137931,952092.1298101334
627,,950735.7237931035,957096.2573452808
628,,940000,957383.238901254
629,,951393.448275862,959417.5214316272
630,,940000,948513.6778298637
631,,940000,949551.2130142411
632,,940000,949448.3030580239
633,,940000,960281.7406299675
634,,940000,961392.1718123564
635,,940000,956097.6548986619
636,,940000,955675.0298780992
637,,940000,961029.5671217932
638,,945299.6551724138,952824.427439207
639,,951961.0462068972,948124.9584976131
640,,940000,948950.8657053584
641,,955202.0689655172,948052.7473346012
642,,960738.0693103452,949910.5809212545
643,,940000,962724.0347479058
644,,940000,962998.6797219295
645,,940000,966428.6656390668
646,,946061.3793103448,968386.1468440722
647,,953500.4906896554,949541.3990931318
648,,940000,955195.6644951599
649,,940000,954079.4273638396
650,,940000,951311.1711089114
651,,940000,955161.1142870624
652,,948346.551724138,949791.4064218347
653,,955863.3589655176,950988.1603828672
654,,959957.5477493105,947043.3611385258
655,,951317.084231481,959235.1397199305
656,,940000,958322.5125558197
657,,954440.3448275862,960797.555739033
658,,953963.5865517245,960423.7787072442
659,,955113.7028068964,949658.9935200928
660,,940000,953310.892345078
661,,949108.275862069,955907.106052927
662,,940000,967185.6783639712
663,,940000,973865.0720582927
664,,940000,982810.3506960379
665,,940000,961572.5329225629
666,,940000,969446.4358331579
667,,940000,952229.9310319661
668,,949108.275862069,959881.4050299282
669,,940000,950718.2501885986
670,,953678.6206896552,954887.4522429109
671,,965135.8268965521,965524.9003171502
672,,960912.902697931,951218.8206857307
673,,940000,961776.9091144623
674,,940000,955135.951197475
675,,940000,952339.4032810233
676,,949870,960190.1325122988
677,,940000,960509.9618519647
678,,948346.551724138,952677.7119306641
679,,955125.3941379315,956946.0795720647
680,,963677.3443544826,962216.8954228753
681,,940000,964798.1256838288
682,,949870,947084.0323160803
683,,940000,964566.1957807903
684,,940000,955743.2628117468
685,,949870,954602.6303670062
686,,958190.4262068968,952066.4418480089
687,,954494.5875113792,965025.7527742102
688,,953361.8540392919,960670.2111860313
689,,952045.3725628945,952898.0844800649
690,,954296.6514432961,956325.2434129475
691,,961777.7459111346,949054.2731971666
692,,940000,951442.603105166
693,,947584.8275862068,952923.4206085118
694,,940000,958111.4253200578
695,,952916.8965517242,949090.1849432262
696,,940000,949802.5741876902
697,,956725.5172413794,956734.2624715841
698,,940000,952458.6000775746
699,,946061.3793103448,957313.6800780228
700,,940000,958924.8832354024
701,,949870,966864.8278658444
702,,960432.0344827588,972163.3540728356
703,,962230.1589268963,966944.1136644887
704,,961476.4555160746,961879.5673408884
705,,952018.3498302012,957980.8209940138
706,,954550.645060676,955643.9249583415
707,,958064.690310288,960180.6449594505
708,,947961.4693575553,951994.8035203648
709,,940000,954044.3893692591
710,,940000,956721.5546976579
711,,940000,952974.2624603561
712,,954440.3448275862,951583.8524782901
713,,940000,948154.5752113933
714,,940000,958031.0168952688
715,,940000,951174.5767834848
716,,940000,954170.0195189404
717,,952916.8965517242,954175.7563608346
718,,959482.1482758623,953253.0282881449
719,,940000,936368.6565912678
720,,940000,938899.3332477354
721,,950631.724137931,945647.4444836426
722,,940000,947573.7192051806
723,,946823.1034482758,943073.0841360078
724,,940000,951197.6167986583
725,,940000,955641.6488903392
726,,940000,955671.3105507629
727,,940000,956240.1648411868
728,,952916.8965517242,953077.9777721869
729,,940000,951659.5550587215
730,,940000,945967.8998791063
731,,946823.1034482758,944535.4844997644
732,,940000,944600.1580509391
733,,947584.8275862068,948482.1240686657
734,,940000,950841.0636682754
735,,946823.1034482758,957889.8835138868
736,,951266.9696551726,952401.4937190004
737,,955788.8958606895,954254.0910933818
738,,959452.8474111987,963008.1901835132
739,,957558.1666568067,953087.155311696
740,,940000,952005.7515669343
741,,940000,958663.208534721
742,,940000,959630.629111029
743,,940000,956985.3053278433
744,,940000,967240.7146604819
745,,940000,964758.0882513273
746,,940000,961745.5395761982
747,,940000,954274.7213451371
748,,946823.1034482758,956936.047932473
749,,954670.9527586213,957202.6319067361
750,,951865.1397896556,956118.564696118
751,,957372.7668531002,957796.6169329312
752,,940000,958061.7443239155
753,,940000,950577.5531753292
754,,949870,955584.6194284933
755,,940000,949205.9647545958
756,,940000,947396.2145470375
757,,951393.448275862,956425.2802485157
758,,954544.4903448278,954922.3038375282
759,,940000,958651.4165699945
760,,949108.275862069,951004.6368152553
761,,940000,959197.9713515989
762,,940000,950562.4406674539
763,,940000,951155.7880155657
764,,954440.3448275862,960161.3421960348
765,,940000,955930.5927710906
766,,940000,957785.9288189848
767,,940000,960299.7090814768
768,,940000,954989.5886627514
769,,949108.275862069,958283.1172257005
770,,949926.156896552,957722.7484906951
771,,956817.2369634482,950860.476099541
772,,940000,957340.2578604184
773,,940000,953046.6202241454
774,,949870,954623.5689300684
775,,940000,954238.6288226565
776,,949870,959386.2130183665
777,,954459.0313793106,964050.3726130864
778,,940000,971803.5285891095
779,,940000,957384.9096288871
780,,955202.0689655172,955798.1485546905
781,,940000,956370.1634546082
782,,940000,959968.012434809
783,,940000,952008.5308305004
784,,949870,958562.1343230223
785,,940000,960278.4029253846
786,,951393.448275862,963405.2574820261
787,,940000,947830.0849281475
788,,940000,948340.0432451224
789,,940000,952120.8899318693
790,,952155.1724137932,965326.9354171262
791,,940000,966660.3067061247
792,,952155.1724137932,960102.159152219
793,,959815.3296551727,958083.0060614113
794,,961656.3898472409,953050.9863219706
795,,969293.6780588883,964794.7576528804
796,,940000,970005.866469301
797,,940000,968521.2503656393
798,,940000,961389.4259861779
799,,949870,950368.211549745
800,,940000,955640.0235922554
801,,940000,960125.1245029417
802,,952916.8965517242,955703.1093007912
803,,940000,949493.685117519
804,,940000,957204.6019030405
805,,949870,961228.1123458555
806,,940000,965264.6679273905
807,,948346.551724138,966888.3366508837
808,,950642.1775862073,967817.4421824153
809,,952934.5797344829,959793.0712733302
810,,952739.5083938572,956775.3620066667
811,,955368.1992269324,938092.6626094384
812,,963418.7544980668,943995.4255022277
813,,966045.705411006,949117.8498763791
814,,957799.5605758886,955318.4132434495
815,,939989.8754961933,957256.4798034889
816,,950621.2554009949,948247.2821230472
817,,940000,951744.5036528369
818,,940000,957348.1749233827
819,,940000,954333.9293317628
820,,940000,955169.225785319
821,,940000,948969.655529415
822,,940000,959734.3362768008
823,,940000,960538.0259667124
824,,952155.1724137932,963135.0218114097
825,,940000,963001.1115692467
826,,946823.1034482758,961634.5126505058
827,,940000,972489.7267022493
828,,940000,971017.1919092234
829,,940000,972819.8163591505
830,,951393.448275862,950224.7270162577
831,,954161.651034483,958097.9301009551
832,,940000,958882.2357064749
833,,940000,965893.3984107904
834,,949108.275862069,955275.6344132995
835,,951046.961034483,963657.7143888277
836,,940000,970716.2962827743
837,,940000,970386.6380591458
838,,940000,960237.3688722886
839,,940000,947794.3809597858
840,,952916.8965517242,946343.9037270888
841,,940000,954290.662324688
842,,946823.1034482758,952040.5543031415
843,,940000,958037.2726612982
844,,940000,952547.8557617767
845,,940000,967409.6648506357
846,,952916.8965517242,952888.3653890084
847,,950884.6975862072,956535.9152587533
848,,940000,955057.4598816694
849,,940000,948441.7223385674
850,,945299.6551724138,942976.7203464907
851,,940000,946716.7820579931
852,,952155.1724137932,963462.6049687167
853,,956808.0427586208,957993.9198600013
854,,940000,963617.3382147843
855,,940000,948427.925878899
856,,940000,955080.2224997447
857,,940000,965305.4503013039
858,,940000,961445.706666303
859,,940000,957018.2605740515
860,,955202.0689655172,956132.4621676331
