"Ticks","placeholder","Changers","Stayers"
196,,948397.3333333334,413390.95120229764
197,,940000,419477.0165769387
198,,951342.6666666666,426468.4022779915
199,,940000,434208.41264598013
200,,950360.8888888889,440644.49725956266
201,,940000,445547.4787526041
202,,940000,450960.24890498974
203,,946433.7777777778,455832.3257443892
204,,940000,460937.6965056621
205,,940000,464255.44035960117
206,,945452,472160.58460892696
207,,957301.6400000002,478926.2295312334
208,,954034.8256848889,483631.37872054835
209,,954341.0331039894,486264.77238613105
210,,940000,491941.3629024752
211,,940000,499704.2244137533
212,,940000,504637.890365416
213,,940000,511138.2878106926
214,,952324.4444444445,516683.82856359327
215,,949486.2502222223,523650.08271142084
216,,953614.4108102223,529651.679275154
217,,956419.410226365,537718.0426493154
218,,954469.8346077285,539874.9930917898
219,,940000,544007.6096551035
220,,940000,552042.948039892
221,,940000,562282.3867207122
222,,940000,569542.3925054602
223,,952324.4444444445,578453.4534813473
224,,955758.0555555557,584339.1727427809
225,,949665.9050066664,588615.2726079262
226,,940000,595958.0684346344
227,,951342.6666666666,602578.1226070861
228,,949422.2466666667,611549.1375652057
229,,940000,615997.8679183548
230,,950360.8888888889,624807.6253548323
231,,940000,631287.4346765057
232,,940000,639601.3371279627
233,,954288,644744.2001428298
234,,940000,646581.9758425321
235,,940000,650701.8517446573
236,,940000,658254.7779082392
237,,940000,662532.9889341078
238,,940000,670011.6309805082
239,,940000,675782.173094625
240,,955269.7777777778,681427.331020769
241,,965568.7728888891,686692.9029250973
242,,965814.4266817775,693880.1263381358
243,,972760.9769655118,701441.3306159871
244,,940000,703656.4600205843
245,,940000,708965.9776588057
246,,940000,713902.907373201
247,,940000,720824.3663422195
248,,947415.5555555555,725070.9189393885
249,,940000,730481.4489084212
250,,950360.8888888889,735214.9629929852
251,,948864.8057777777,746503.9919132352
252,,955331.0713551111,749187.0656090311
253,,940000,744243.7110592094
254,,950360.8888888889,746670.5752140273
255,,940000,752773.4844716153
256,,951342.6666666666,761587.0685781259
257,,958125.5186666669,765120.7437017362
258,,965521.2499564443,769887.8588353737
259,,940000,777182.2881428171
260,,952324.4444444445,779057.2239030307
261,,963474.4528888891,786520.8767934962
262,,959608.215404889,785020.1657622672
263,,957248.9708627992,785006.4419819639
264,,958564.2834985516,794914.9127223395
