"Ticks","placeholder","Changers","Stayers"
182,,53694.23618391728,376624.70099643077
183,,52996.21111352637,381888.85685220687
184,,52307.260369050506,388136.54423055594
185,,53460.36773148697,392596.5540328189
186,,52765.38295097767,398074.81108269683
187,,53431.985520800714,402612.27337423887
188,,52737.369709030296,405841.94818138
189,,52051.783902812895,410910.0333850736
190,,51375.11071207635,413860.7321487287
191,,50707.23427281934,417998.0366594101
192,,51008.273314990234,422827.40092395013
193,,50345.1657618954,427831.165732267
194,,49690.678606990725,434558.36411120096
195,,50303.81450255542,441412.50577782793
196,,49649.864914022204,445320.5427510697
197,,49004.416670139915,448960.4626951744
198,,49416.88243528182,453447.17820647534
199,,49793.29615733498,456692.1333433053
200,,49145.98330728959,461052.05557429156
201,,48507.08552429488,465746.7044804006
202,,47876.49341247901,466846.59696651826
203,,48306.83077148999,473546.19237503444
204,,47678.84197146061,475124.5684013168
205,,48156.60906038795,480874.9334781535
206,,47530.573142602894,486906.2743100086
207,,48164.68447984634,487842.94931608916
208,,47538.54358160835,489082.10324308614
209,,48063.91121288053,490576.0094915436
210,,48472.45463599503,492656.85204811697
211,,47842.31272572708,499225.39155578264
212,,48508.27215797065,503112.0014999921
213,,48890.57166283367,509213.16064993624
214,,48254.99423121682,512094.8892280406
215,,47627.67930621099,515897.5878093227
216,,47008.51947523026,521402.8989582535
217,,47664.18295431271,524493.8852886197
218,,47044.54857590665,529494.3604100521
219,,47635.99805460495,533965.1291322287
220,,47016.73007989507,539208.8481120812
221,,47540.76767903843,543046.9097186767
222,,48458.58402792733,549612.8353512529
223,,47828.62243556426,554501.4349714341
224,,47206.85034390195,560816.6615636151
225,,46593.16128943121,564110.9035884389
226,,45987.450192668606,571064.3005030516
227,,45389.61334016393,575188.541512812
228,,44799.54836674178,582564.0997606443
229,,44217.15423797415,589400.4380988976
230,,43642.33123288047,593206.7806502758
231,,43074.98092685304,597036.8975813852
232,,42515.00617480394,603353.081223966
233,,42906.61418958981,608543.4472015044
234,,43391.97257368129,611701.7303121007
235,,42827.87693022343,621126.9578175553
236,,43069.42734180542,626132.4198280303
237,,42509.52478636195,630491.2543571999
238,,41956.900964139255,636182.6434345843
239,,41411.46125160545,643881.1373621224
240,,40873.11225533457,650845.0388702541
